Player,Team,League,Nationality,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Aaron Ramsdale,Southampton,Premier League,eng ENG,30,2700,6.27,2.2,4.0,2.12,-0.08,0.1,6.53,20.17,34.2,4.3,6.33,15.23,0.83,0.67,4.32,55.93,17.07
Adrian Rodriguez,Alavés,La Liga,es ESP,2,122,4.43,1.48,2.95,1.11,-0.37,0.74,13.28,35.41,19.18,0.0,17.7,24.34,0.0,0.0,0.0,67.44,
Adrián,Betis,Europa Conference League / La Liga,es ESP,26,2340,3.88,1.38,2.5,1.38,0.0,0.19,2.81,8.62,26.46,4.35,5.46,11.88,0.77,0.88,5.06,32.23,17.19
Aitor Fernández,Osasuna,La Liga,es ESP,1,90,5.0,0.0,5.0,1.2,1.2,1.0,19.0,35.0,34.0,4.0,11.0,14.0,1.0,1.0,5.22,59.9,10.6
Alban Lafont,Nantes,Ligue 1,fr FRA,12,1080,4.08,1.58,2.67,1.4,-0.18,0.17,3.33,11.92,25.75,4.67,4.75,16.67,1.33,0.5,6.31,51.12,14.55
Albert Posiadala,Molde,Europa Conference League,pl POL,6,540,3.17,1.83,1.33,1.48,-0.35,0.17,3.5,8.83,26.33,3.5,4.0,9.67,0.5,1.67,4.0,33.64,16.54
Alberto Paleari,Torino,Serie A,it ITA,1,90,7.0,3.0,4.0,2.2,-0.8,0.0,8.0,12.0,26.0,5.0,6.0,12.0,0.0,5.0,5.96,42.0,27.3
Aleksandr Zarutskiy,Astana FK,Europa Conference League,kz KAZ,1,90,6.0,2.0,4.0,2.4,0.4,0.0,2.0,6.0,19.0,5.0,5.0,18.0,1.0,0.0,7.03,40.8,
Aleksei Ploshchadnyi,FC Noah,Europa Conference League,ru RUS,3,270,6.0,2.33,3.33,2.37,0.03,0.33,3.0,9.67,22.67,4.67,5.67,13.67,0.67,1.33,7.29,32.04,15.7
Alen Sherri,Cagliari,Serie A,al ALB,7,621,4.49,1.59,2.9,1.59,0.0,0.14,4.2,12.17,24.35,3.19,8.26,12.32,0.58,0.72,3.93,37.02,13.46
Alex McCarthy,Southampton,Premier League,eng ENG,5,450,7.4,2.6,4.8,2.52,-0.08,0.0,4.8,10.4,26.4,5.8,4.6,14.8,1.6,0.0,6.16,30.77,
Alex Meret,Napoli,Serie A,it ITA,34,3005,2.52,0.75,1.77,0.75,0.01,0.48,2.64,6.41,31.18,3.5,5.42,11.32,0.63,1.41,3.07,34.92,19.31
Alex Padilla,Athletic Club,La Liga,es ESP,5,321,4.77,1.68,3.36,1.35,-0.34,0.28,7.57,21.87,27.48,4.21,6.17,15.98,0.56,0.84,6.12,64.53,15.93
Alex Palmer,Ipswich Town,Premier League,eng ENG,13,1170,5.46,2.31,3.31,1.94,-0.37,0.0,5.46,14.31,25.31,4.23,7.23,19.15,1.54,1.0,5.36,50.79,13.99
Alexander Meyer,Dortmund,Bundesliga / Champions League,de GER,3,270,4.0,1.33,2.67,1.37,0.03,0.33,3.67,14.0,40.33,2.67,3.67,11.0,1.0,1.0,1.96,57.27,14.87
Alexander Nübel,Stuttgart,Bundesliga / Champions League,de GER,41,3690,3.95,1.61,2.34,1.28,-0.33,0.2,4.49,11.71,35.29,3.95,3.39,11.59,0.63,1.46,3.21,38.52,21.77
Alexander Schlager,RB Salzburg,Champions League,at AUT,4,335,8.33,3.49,4.84,2.82,-0.67,0.0,3.76,13.16,25.52,3.76,5.91,15.31,1.07,2.96,5.2,33.82,21.38
Alexander Schwolow,Union Berlin,Bundesliga,de GER,6,540,4.67,2.17,2.5,1.63,-0.53,0.0,4.67,12.17,27.67,4.33,6.67,14.17,0.0,0.67,4.55,42.55,20.75
Aleš Mandous,Slavia Prague,Europa League,cz CZE,2,180,7.0,2.0,4.5,2.4,0.4,0.0,3.5,9.0,36.0,5.5,3.5,9.5,0.5,1.0,3.84,47.59,16.15
Alisson,Liverpool,Champions League / Premier League,br BRA,34,3048,3.75,0.94,2.86,1.1,0.12,0.35,3.01,8.56,32.45,4.52,2.98,9.39,0.44,1.65,3.9,35.25,18.22
Alphonse Areola,West Ham,Premier League,fr FRA,26,2260,4.58,1.63,3.07,1.41,-0.22,0.2,5.38,15.29,31.38,4.74,7.81,15.69,0.6,1.19,4.76,42.95,18.94
Altay Bayındır,Manchester Utd,Europa League / Premier League,tr TUR,6,540,4.5,1.83,2.83,2.0,0.17,0.33,2.17,12.0,30.0,3.17,5.17,11.67,0.67,1.5,3.2,47.55,15.97
Amir Saipi,Lugano,Europa Conference League,xk KVX,8,720,4.75,1.5,3.25,1.59,0.09,0.38,6.62,15.12,45.75,3.75,5.62,13.25,0.62,0.12,2.41,41.46,13.8
Anatolii Trubin,Benfica,Champions League,ua UKR,12,1080,5.0,1.58,3.42,1.17,-0.42,0.33,1.75,7.83,22.58,5.58,5.42,14.42,0.67,0.67,7.54,34.79,15.41
Andrea Mazza,Monza,Serie A,it ITA,1,8,0.0,0.0,0.0,0.0,0.0,11.25,11.25,22.5,56.25,11.25,22.5,11.25,0.0,0.0,4.8,40.0,
Andriy Lunin,Real Madrid,Champions League / La Liga,ua UKR,9,810,3.56,1.22,2.33,1.26,0.03,0.44,2.56,5.11,20.67,4.44,5.33,8.67,0.67,1.67,5.54,30.15,19.51
André Ferreira,Valladolid,La Liga,pt POR,6,540,6.5,3.33,3.17,2.53,-0.8,0.0,5.0,13.83,23.0,4.33,9.33,15.33,0.67,0.5,6.07,41.73,12.47
André Onana,Manchester Utd,Europa League / Premier League,cm CMR,47,4230,3.83,1.32,2.51,1.29,-0.03,0.23,3.7,12.57,32.7,3.81,4.21,11.66,0.64,0.77,3.57,47.68,19.92
Anthony Lopes,Nantes,Ligue 1,pt POR,18,1563,4.09,1.5,2.65,1.46,-0.03,0.17,5.12,14.8,25.97,3.22,5.53,17.74,0.92,0.46,4.3,49.44,16.1
Anthony Moris,Union SG,Europa League,lu LUX,10,900,3.7,1.1,2.7,1.26,0.16,0.2,7.6,17.6,31.1,2.6,3.4,11.4,0.8,0.5,3.22,40.54,21.68
Antonio Sivera,Alavés,La Liga,es ESP,32,2810,3.59,1.25,2.4,1.25,-0.03,0.26,9.51,23.19,23.54,2.24,7.33,14.51,0.96,0.93,4.37,59.96,18.81
Antonín Kinský,Slavia Prague / Tottenham,Europa League / Premier League,cz CZE,12,1080,4.0,1.5,2.67,1.32,-0.18,0.17,3.92,10.08,34.08,4.75,4.17,12.75,1.0,1.5,4.32,30.14,19.26
Arijanet Muric,Ipswich Town,Premier League,xk KVX,18,1620,5.56,1.83,3.72,1.75,-0.08,0.06,4.22,12.72,29.67,5.22,5.22,13.83,2.17,1.11,5.34,54.64,17.68
Arnau Rafús,Valladolid,La Liga,es ESP,1,90,2.0,2.0,0.0,0.5,-1.5,0.0,7.0,15.0,38.0,5.0,5.0,14.0,1.0,1.0,4.59,39.0,11.4
Arnau Tenas,Paris S-G,Ligue 1,es ESP,1,90,4.0,1.0,3.0,1.5,0.5,0.0,3.0,4.0,30.0,4.0,2.0,5.0,1.0,1.0,3.39,21.5,15.6
Arthur Desmas,Le Havre,Ligue 1,fr FRA,18,1620,5.17,2.11,3.0,2.15,0.04,0.17,3.11,8.39,22.44,4.0,6.5,15.39,0.67,0.39,5.3,29.65,18.96
Augusto Batalla,Rayo Vallecano,La Liga,ar ARG,32,2880,4.16,1.22,2.91,1.26,0.04,0.25,5.53,16.69,30.91,4.03,5.75,14.16,1.09,1.19,4.86,51.06,19.23
Bart Verbruggen,Brighton,Premier League,nl NED,36,3240,3.97,1.61,2.42,1.41,-0.2,0.19,3.39,10.72,34.06,3.39,2.31,11.5,0.75,1.31,2.88,48.52,18.77
Bartłomiej Drągowski,Panathinaikos,Europa Conference League,pl POL,7,630,5.57,1.71,3.86,1.8,0.09,0.29,1.57,7.43,27.43,4.29,4.14,10.43,0.86,1.57,4.09,30.91,16.15
Ben Alexander Voll,St. Pauli,Bundesliga,de GER,2,91,4.95,1.98,2.97,2.37,0.4,0.99,6.92,27.69,36.59,4.95,12.86,14.84,0.0,0.0,6.04,39.7,
Benjamin Lecomte,Montpellier,Ligue 1,fr FRA,29,2610,5.76,2.28,3.55,1.99,-0.29,0.03,6.1,15.48,28.07,3.97,6.34,14.07,0.69,0.9,5.09,42.43,18.76
Benjamin Siegrist,Genoa,Serie A,ch SUI,2,152,7.11,1.18,5.92,1.42,0.0,0.0,3.55,17.76,31.97,5.33,11.25,15.39,0.59,0.59,5.96,46.75,8.0
Bernd Leno,Fulham,Premier League,de GER,38,3420,4.18,1.42,2.79,1.28,-0.14,0.13,3.71,9.66,32.39,4.39,4.53,13.34,0.61,0.87,3.86,41.87,16.38
Brandon Austin,Tottenham,Europa League / Premier League,eng ENG,3,270,3.0,1.33,1.67,1.7,0.37,0.33,2.67,6.33,23.33,5.0,4.33,17.67,2.67,1.33,5.57,37.86,16.1
Brice Samba,Lens / Rennes,Ligue 1,fr FRA,32,2879,4.41,1.28,3.06,1.47,0.19,0.38,4.38,10.66,31.39,3.91,5.56,11.79,1.03,1.16,3.59,34.47,18.85
Bruno Varela,Vitória,Europa Conference League,cv CPV,8,720,4.0,1.5,2.5,1.4,-0.1,0.0,2.62,7.38,25.38,2.12,4.12,8.12,0.38,0.38,2.09,38.36,12.8
Caoimhín Kelleher,Liverpool,Champions League / Premier League,ie IRL,14,1260,3.86,1.07,2.64,1.25,0.18,0.5,2.86,10.57,35.57,4.36,2.57,11.0,0.57,1.14,3.37,37.45,20.83
Christian Walton,Ipswich Town,Premier League,eng ENG,7,630,5.57,2.71,2.86,2.41,-0.3,0.14,6.0,16.57,29.14,5.0,7.29,15.86,1.71,0.29,5.76,44.46,13.75
Christos Mandas,Lazio,Europa League / Serie A,gr GRE,18,1620,3.39,0.83,2.56,1.09,0.26,0.33,5.22,13.61,33.17,3.94,3.28,11.5,1.56,1.89,3.98,43.27,21.73
Colin Coosemans,Anderlecht,Europa League,be BEL,9,810,4.11,1.44,2.67,1.16,-0.29,0.11,5.22,17.22,45.22,4.22,3.67,15.56,0.78,1.22,3.14,40.8,21.02
Connor Roberts,The New Saints,Europa Conference League,wls WAL,6,540,6.83,1.67,5.17,2.37,0.7,0.17,5.33,15.5,33.17,2.0,7.17,16.33,0.83,0.17,1.9,43.33,10.0
Craig Gordon,Hearts,Europa Conference League,sct SCO,6,540,3.83,1.5,2.33,1.42,-0.08,0.17,3.67,14.17,21.17,4.5,7.5,10.5,0.33,0.5,7.52,46.64,18.5
Damjan Šiškovski,Borac Banja Luka,Europa Conference League,mk MKD,1,90,2.0,1.0,1.0,1.0,0.0,0.0,5.0,13.0,23.0,6.0,7.0,11.0,1.0,1.0,7.77,54.1,11.3
Dani Cárdenas,Rayo Vallecano,La Liga,es ESP,6,540,3.33,1.0,2.33,0.95,-0.05,0.33,4.33,17.67,22.0,3.5,7.67,13.17,0.33,0.17,6.95,51.95,13.0
Daniel Bentley,Wolves,Premier League,eng ENG,2,180,6.0,2.0,4.0,1.95,-0.05,0.5,3.5,10.5,26.0,3.0,6.5,12.5,0.0,1.5,2.73,46.39,21.6
Daniel Peretz,Bayern Munich,Bundesliga / Champions League,il ISR,4,360,2.75,1.5,1.25,1.3,-0.2,0.0,2.25,8.0,30.5,1.25,3.0,5.25,0.0,2.0,1.23,27.67,21.51
Daniel Schmidt,Gent,Europa Conference League,jp JPN,1,90,3.0,2.0,1.0,1.8,-0.2,0.0,4.0,9.0,17.0,5.0,3.0,7.0,1.0,1.0,10.06,36.0,15.0
Daniele Padelli,Udinese,Serie A,it ITA,1,90,3.0,0.0,3.0,0.8,0.8,1.0,3.0,7.0,18.0,2.0,2.0,11.0,1.0,0.0,3.39,32.0,
Daniele Sommariva,Genoa,Serie A,it ITA,1,28,9.64,3.21,6.43,2.89,-0.32,0.0,3.21,32.14,28.93,0.0,19.29,61.07,0.0,0.0,0.0,47.5,
Daniil Khudiakov,Sturm Graz,Champions League,ru RUS,2,180,5.0,1.5,3.5,1.35,-0.15,0.5,4.5,19.5,30.5,4.5,5.5,16.0,2.0,0.5,5.24,63.18,12.4
Danijel Zagorac,Dinamo Zagreb,Champions League,hr CRO,3,270,4.0,1.33,2.67,1.47,0.13,0.33,6.0,17.33,23.33,2.0,11.0,18.67,0.67,1.0,2.59,49.6,12.93
Danny Ward,Leicester City,Premier League,wls WAL,2,135,6.67,4.0,2.67,1.87,-2.13,0.0,6.67,14.67,30.67,6.0,4.67,7.33,0.0,1.33,6.42,52.0,21.75
David Raya,Arsenal,Champions League / Premier League,es ESP,51,4590,3.12,0.84,2.24,0.96,0.12,0.37,4.29,12.96,32.27,4.47,4.04,10.55,1.31,1.65,4.21,47.33,20.36
David Soria,Getafe,La Liga,es ESP,38,3420,3.32,1.03,2.26,1.1,0.07,0.24,7.89,21.03,18.92,1.79,8.0,12.61,0.66,1.03,4.14,61.46,18.93
David de Gea,Fiorentina,Europa Conference League / Serie A,es ESP,40,3600,4.0,1.15,2.82,1.15,0.0,0.28,6.05,13.6,25.0,3.68,6.82,13.65,0.35,0.98,4.97,43.95,19.66
David von Ballmoos,Young Boys,Champions League,ch SUI,4,360,7.25,3.75,3.25,2.38,-1.38,0.0,5.75,16.75,31.75,2.25,5.75,14.75,0.25,1.0,2.47,46.32,25.6
Davy Roef,Gent,Europa Conference League,be BEL,7,630,5.29,1.29,4.0,1.19,-0.1,0.43,2.71,7.14,24.86,5.0,5.71,12.14,0.0,0.29,6.22,26.0,21.75
Dean Henderson,Crystal Palace,Premier League,eng ENG,38,3420,3.95,1.34,2.66,1.34,-0.01,0.29,4.13,15.79,24.82,3.03,7.18,14.74,0.79,1.05,4.47,44.86,19.42
Deniz Dilmen,Başakşehir,Europa Conference League,0,2,180,6.5,3.5,3.0,3.2,-0.3,0.0,2.0,5.5,28.0,2.5,5.5,8.5,0.0,4.0,2.26,28.45,25.64
Devis Vásquez,Empoli,Serie A,co COL,32,2880,3.91,1.41,2.47,1.26,-0.15,0.19,5.03,17.5,29.78,3.25,4.69,15.31,1.12,0.47,4.15,52.0,18.57
Diant Ramaj,FC Copenhagen,Europa Conference League,de GER,4,360,5.0,1.5,3.5,1.88,0.38,0.0,3.75,17.0,42.25,5.25,3.5,10.0,1.25,1.0,4.23,45.3,24.85
Diego Conde,Villarreal,La Liga,es ESP,22,1962,4.31,1.51,2.84,1.21,-0.31,0.09,2.8,7.39,24.4,5.09,4.91,14.82,0.83,0.73,5.61,36.34,17.48
Dimitry Bertaud,Montpellier,Ligue 1,cd COD,4,360,5.25,2.75,2.5,2.2,-0.55,0.0,5.0,11.75,21.5,4.75,6.75,13.75,2.0,0.75,7.55,43.59,16.97
Dinko Horkaš,Las Palmas,La Liga,hr CRO,13,1085,4.48,1.58,2.9,1.61,0.03,0.08,5.72,14.52,39.4,4.4,3.9,12.28,0.75,1.33,3.71,43.0,21.08
Diogo Costa,Porto,Europa League,pt POR,10,900,3.8,1.5,2.3,1.23,-0.27,0.3,5.0,12.8,37.4,3.9,5.1,14.6,0.9,1.3,3.23,38.74,20.63
Dmytro Riznyk,Shakhtar,Champions League,ua UKR,8,720,6.5,2.0,4.5,2.14,0.14,0.25,5.75,16.38,38.88,4.25,6.75,17.62,2.0,0.5,3.69,40.62,10.4
Dominik Greif,Mallorca,La Liga,sk SVK,31,2790,3.74,1.1,2.68,1.09,-0.01,0.23,6.16,15.32,27.32,4.06,6.23,16.48,0.48,0.68,5.43,48.35,17.9
Dominik Kotarski,PAOK,Europa League,hr CRO,10,900,4.5,1.4,3.2,1.69,0.29,0.3,3.8,13.2,34.9,3.4,4.2,13.5,0.3,0.8,3.23,46.62,20.59
Dominik Livaković,Fenerbahçe,Europa League,hr CRO,6,540,5.67,1.5,4.0,1.67,0.17,0.0,5.83,17.83,37.5,5.33,4.33,12.17,0.5,1.0,5.06,49.8,22.15
Dominik Takáč,Slovan Bratislava,Champions League,sk SVK,8,720,8.0,3.38,4.5,2.95,-0.42,0.0,4.25,12.62,19.62,4.88,10.0,20.38,1.38,0.0,8.24,37.61,
Donovan Léon,Auxerre,Ligue 1,gf GUF,32,2880,5.12,1.5,3.69,1.75,0.25,0.28,6.66,20.28,29.22,5.41,6.09,16.19,0.88,1.22,7.56,56.36,18.32
Dávid Gróf,Ferencváros,Europa League,hu HUN,2,180,4.5,1.5,3.0,1.2,-0.3,0.5,5.0,16.0,23.5,2.0,3.5,16.5,1.0,0.5,3.03,56.6,20.0
Dénes Dibusz,Ferencváros,Europa League,hu HUN,7,572,4.88,1.57,3.3,1.75,0.11,0.31,4.25,9.28,26.28,3.78,4.56,12.43,0.16,1.1,4.31,37.06,31.7
Ed McGinty,Shamrock Rov,Europa Conference League,ie IRL,2,180,2.5,0.5,2.0,0.35,-0.15,0.5,3.0,8.0,24.0,8.0,5.0,9.0,1.0,4.0,9.72,35.99,19.8
Ederson,Manchester City,Champions League / Premier League,br BRA,34,3040,3.7,1.36,2.37,1.39,0.02,0.33,2.66,6.13,31.5,4.17,3.14,8.26,0.5,1.95,3.55,32.38,20.97
Elia Caprile,Cagliari / Napoli,Serie A,it ITA,22,1945,3.42,1.06,2.36,1.19,0.12,0.37,6.62,16.52,29.06,4.72,8.05,13.74,0.97,1.2,5.74,43.99,19.71
Elías Rafn Ólafsson,Midtjylland,Europa League,is ISL,6,520,5.19,1.21,3.98,1.28,0.07,0.35,4.33,16.62,27.0,5.54,8.48,10.73,0.87,2.08,7.94,47.48,23.98
Emil Audero,Como,Serie A,id IDN,8,720,4.25,2.25,2.0,1.55,-0.7,0.0,2.12,6.88,29.0,3.75,2.62,11.88,0.62,1.0,3.47,27.54,15.32
Emiliano Martínez,Aston Villa,Champions League / Premier League,ar ARG,49,4274,4.25,1.2,3.03,1.3,0.09,0.27,4.51,11.5,34.41,3.64,4.49,12.89,1.45,0.91,3.21,46.34,19.26
Enrico Del Prato,Parma,Serie A,it ITA,1,13,13.85,13.85,0.0,2.08,-11.77,0.0,0.0,83.08,83.08,6.92,20.77,55.38,6.92,0.0,3.81,50.0,
Ersin Destanoğlu,Beşiktaş,Europa League,tr TUR,3,270,5.67,1.67,4.0,1.57,-0.1,0.33,2.33,11.67,26.67,6.67,8.67,13.0,1.33,0.33,8.43,32.7,15.3
Fabian Bredlow,Stuttgart,Champions League,de GER,1,90,6.0,4.0,2.0,3.3,-0.7,0.0,4.0,14.0,31.0,5.0,2.0,8.0,0.0,2.0,6.15,12.5,23.7
Fabiano,AC Omonia,Europa Conference League,br BRA,7,630,4.71,1.29,3.29,1.61,0.33,0.29,3.43,9.71,15.0,3.43,8.29,15.86,0.86,0.14,7.21,44.27,12.8
Fabijan Buntić,Qarabağ,Europa League,hr CRO,2,180,5.0,2.5,2.5,2.2,-0.3,0.0,0.5,3.0,15.5,3.5,3.0,8.5,0.5,1.0,5.99,35.5,17.25
Fabrice Ondoa,FK Rīgas FS,Europa League,cm CMR,8,720,5.0,1.62,3.38,1.38,-0.25,0.12,4.12,13.75,24.25,3.75,5.12,16.12,0.75,0.5,6.21,45.54,15.65
Federico Ravaglia,Bologna,Champions League / Serie A,it ITA,13,1146,2.28,1.18,1.1,0.97,-0.2,0.39,4.16,12.09,36.99,4.01,3.85,8.17,0.86,0.71,3.17,39.71,16.09
Fernando Muslera,Galatasaray,Europa League,uy URU,6,540,4.83,2.33,2.5,2.3,-0.03,0.0,4.17,10.17,28.0,4.17,4.17,10.5,0.83,1.0,4.7,37.68,26.05
Filip Jørgensen,Chelsea,Europa Conference League / Premier League,dk DEN,18,1620,4.28,1.0,3.28,1.29,0.29,0.33,1.11,4.28,33.28,5.17,3.0,8.56,0.89,0.78,3.51,23.2,17.32
Filip Manojlović,Borac Banja Luka,Europa Conference League,rs SRB,9,810,4.33,1.0,3.22,1.5,0.5,0.44,4.44,9.67,20.11,5.89,7.22,14.78,0.89,0.78,8.95,44.52,20.61
Filip Stankovic,Venezia,Serie A,rs SRB,16,1367,5.46,1.51,3.95,1.67,0.15,0.0,3.16,10.6,28.51,3.36,4.81,16.39,0.79,0.86,3.6,34.3,14.65
Finn Dahmen,Augsburg,Bundesliga,de GER,19,1710,4.32,1.0,3.42,1.27,0.27,0.47,6.79,17.95,32.32,2.68,7.63,17.74,0.47,1.37,2.84,53.2,16.62
Florian Müller,Freiburg,Bundesliga,de GER,9,753,3.59,1.91,1.79,1.39,-0.53,0.24,6.45,19.84,31.91,3.35,6.81,12.43,0.72,1.08,3.58,57.75,15.8
Fran,Real Madrid,La Liga,es ESP,1,90,2.0,2.0,0.0,0.9,-1.1,0.0,1.0,2.0,16.0,3.0,4.0,5.0,1.0,1.0,4.5,14.8,12.0
Fran Vieites,Betis,Europa Conference League / La Liga,es ESP,12,1080,2.17,1.0,1.17,0.71,-0.29,0.25,3.5,13.75,24.58,3.17,6.33,14.0,0.92,0.75,4.61,49.52,15.32
Francis Uzoho,AC Omonia,Europa Conference League,ng NGA,1,90,4.0,1.0,3.0,1.5,0.5,0.0,15.0,29.0,19.0,1.0,16.0,18.0,1.0,0.0,2.48,50.6,
Franco Israel,Sporting CP,Champions League,uy URU,8,720,4.88,1.5,3.5,1.62,0.12,0.25,2.38,7.38,25.12,3.75,7.38,9.5,0.38,0.38,4.16,36.68,14.57
Frank Feller,Heidenheim,Bundesliga / Europa Conference League,de GER,4,301,4.19,1.2,2.99,1.52,0.33,0.6,6.58,21.23,47.24,5.08,6.88,16.15,0.3,2.09,3.75,54.07,15.84
Fraser Forster,Tottenham,Europa League / Premier League,eng ENG,10,900,6.0,2.0,4.0,2.2,0.2,0.2,1.6,5.0,24.0,4.7,8.0,13.3,0.8,0.9,5.05,18.18,16.17
Frederik Rønnow,Union Berlin,Bundesliga,dk DEN,28,2520,3.96,1.32,2.54,1.4,0.08,0.29,5.11,14.11,26.21,4.82,5.75,17.25,1.43,1.25,6.07,54.27,18.77
Fyodor Lapoukhov,Dinamo Minsk,Europa Conference League,by BLR,6,540,5.0,2.17,2.67,1.92,-0.25,0.17,6.67,15.5,34.17,5.17,6.5,11.17,0.83,2.17,4.97,54.58,18.25
